time,position_km,kilometrage,speed,notch,gradient,atc_ceiling,atc_now
5.10,0.012549,15.999251,17.6545,P1,-5.00,45.00,45.0
5.20,0.013045,15.998755,17.9989,P1,-5.00,45.00,45.0
5.30,0.013550,15.998250,18.3432,P1,-5.00,70.00,70.0
5.40,0.014065,15.997735,18.6875,P1,-5.00,70.00,70.0
5.50,0.014589,15.997211,19.0316,P1,-5.00,70.00,70.0
5.60,0.015123,15.996677,19.3757,P1,-5.00,70.00,70.0
5.70,0.015666,15.996134,19.7198,P1,-5.00,70.00,70.0
5.80,0.016219,15.995581,20.0637,P1,-5.00,70.00,70.0
5.90,0.016782,15.995018,20.4076,P1,-5.00,70.00,70.0
6.00,0.017354,15.994446,20.7513,P1,-5.00,70.00,70.0
6.10,0.017936,15.993864,21.0950,P1,-5.00,70.00,70.0
6.20,0.018527,15.993273,21.4386,P1,-5.00,70.00,70.0
6.30,0.019128,15.992672,21.7822,P1,-5.00,70.00,70.0
6.40,0.019738,15.992062,22.1256,P1,-5.00,70.00,70.0
6.50,0.020358,15.991442,22.4690,P1,-5.00,70.00,70.0
6.60,0.020987,15.990813,22.8122,P1,-5.00,70.00,70.0
6.70,0.021626,15.990174,23.1554,P1,-5.00,70.00,70.0
6.80,0.022275,15.989525,23.4985,P1,-5.00,70.00,70.0
6.90,0.022933,15.988867,23.8416,P1,-5.00,70.00,70.0
7.00,0.023600,15.988200,24.1845,P1,-5.00,70.00,70.0
7.10,0.024277,15.987523,24.5273,P1,-5.00,70.00,70.0
7.20,0.024964,15.986836,24.8701,P1,-5.00,70.00,70.0
7.30,0.025660,15.986140,25.2128,P1,-5.00,70.00,70.0
7.40,0.026365,15.985435,25.5553,P1,-5.00,70.00,70.0
7.50,0.027081,15.984719,25.8978,P1,-5.00,70.00,70.0
7.60,0.027805,15.983995,26.2402,P1,-5.00,70.00,70.0
7.70,0.028539,15.983261,26.5826,P1,-5.00,70.00,70.0
7.80,0.029283,15.982517,26.9248,P1,-5.00,70.00,70.0
7.90,0.030036,15.981764,27.2669,P1,-5.00,70.00,70.0
8.00,0.030799,15.981001,27.6089,P1,-5.00,70.00,70.0
8.10,0.031571,15.980229,27.9509,P1,-5.00,70.00,70.0
8.20,0.032353,15.979447,28.2927,P1,-5.00,70.00,70.0
8.30,0.033144,15.978656,28.6345,P1,-5.00,70.00,70.0
8.40,0.033944,15.977856,28.9762,P1,-5.00,70.00,70.0
8.50,0.034754,15.977046,29.3177,P1,-5.00,70.00,70.0
8.60,0.035574,15.976226,29.6592,P1,-5.00,70.00,70.0
8.70,0.036403,15.975397,30.0006,P1,-5.00,70.00,70.0
8.80,0.037242,15.974558,30.3419,P1,-5.00,70.00,70.0
8.90,0.038090,15.973710,30.6831,P1,-5.00,70.00,70.0
9.00,0.038947,15.972853,31.0241,P1,-5.00,70.00,70.0
9.10,0.039814,15.971986,31.3651,P1,-5.00,70.00,70.0
9.20,0.040691,15.971109,31.7060,P1,-5.00,70.00,70.0
9.30,0.041577,15.970223,32.0468,P1,-5.00,70.00,70.0
9.40,0.042472,15.969328,32.3875,P1,-5.00,70.00,70.0
9.50,0.043377,15.968423,32.7281,P1,-5.00,70.00,70.0
9.60,0.044291,15.967509,33.0686,P1,-5.00,70.00,70.0
9.70,0.045215,15.966585,33.4090,P1,-5.00,70.00,70.0
9.80,0.046148,15.965652,33.7493,P1,-5.00,70.00,70.0
9.90,0.047091,15.964709,34.0895,P1,-5.00,70.00,70.0
10.00,0.048043,15.963757,34.4296,P1,-5.00,70.00,70.0
10.10,0.049005,15.962795,34.7696,P1,-5.00,70.00,70.0
10.20,0.049976,15.961824,35.1094,P1,-5.00,70.00,70.0
10.30,0.050956,15.960844,35.4492,P1,-5.00,70.00,70.0
10.40,0.051946,15.959854,35.7889,P1,-5.00,70.00,70.0
10.50,0.052945,15.958855,36.1285,P1,-5.00,70.00,70.0
10.60,0.053954,15.957846,36.4679,P1,-5.00,70.00,70.0
10.70,0.054972,15.956828,36.8073,P1,-5.00,70.00,70.0
10.80,0.056000,15.955800,37.1465,P1,-5.00,70.00,70.0
10.90,0.057037,15.954763,37.4857,P1,-5.00,70.00,70.0
11.00,0.058083,15.953717,37.8247,P1,-5.00,70.00,70.0
11.10,0.059139,15.952661,38.1636,P1,-5.00,70.00,70.0
11.20,0.060204,15.951596,38.5024,P1,-5.00,70.00,70.0
11.30,0.061279,15.950521,38.8412,P1,-5.00,70.00,70.0
11.40,0.062363,15.949437,39.1798,P1,-5.00,70.00,70.0
11.50,0.063457,15.948343,39.5182,P1,-5.00,70.00,70.0
11.60,0.064560,15.947240,39.8566,P1,-5.00,70.00,70.0
11.70,0.065672,15.946128,40.1945,P1,-5.00,70.00,70.0
11.80,0.066793,15.945007,40.5298,P1,-5.00,70.00,70.0
11.90,0.067924,15.943876,40.8622,P1,-5.00,70.00,70.0
12.00,0.069064,15.942736,41.1918,P1,-5.00,70.00,70.0
12.10,0.070214,15.941586,41.5187,P1,-5.00,70.00,70.0
12.20,0.071372,15.940428,41.8429,P1,-5.00,70.00,70.0
12.30,0.072539,15.939261,42.1646,P1,-5.00,70.00,70.0
12.40,0.073715,15.938085,42.4837,P1,-5.00,70.00,70.0
12.50,0.074900,15.936900,42.8003,P1,-5.00,70.00,70.0
12.60,0.076094,15.935706,43.1144,P1,-5.00,70.00,70.0
12.70,0.077296,15.934504,43.4262,P1,-5.00,70.00,70.0
12.80,0.078508,15.933292,43.7616,P1,-14.20,70.00,70.0
12.90,0.079728,15.932072,44.1009,P1,-14.20,70.00,70.0
13.00,0.080959,15.930841,44.4378,P1,-14.20,70.00,70.0
13.10,0.082198,15.929602,44.7722,P1,-14.20,70.00,70.0
13.20,0.083447,15.928353,45.1043,P1,-14.20,70.00,70.0
13.30,0.084705,15.927095,45.4341,P1,-14.20,70.00,70.0
13.40,0.085972,15.925828,45.7616,P1,-14.20,70.00,70.0
13.50,0.087248,15.924552,46.0868,P1,-14.20,70.00,70.0
13.60,0.088533,15.923267,46.4099,P1,-14.20,70.00,70.0
13.70,0.089827,15.921973,46.7309,P1,-14.20,70.00,70.0
13.80,0.091130,15.920670,47.0498,P1,-14.20,70.00,70.0
13.90,0.092442,15.919358,47.3666,P1,-14.20,70.00,70.0
14.00,0.093763,15.918037,47.6814,P1,-14.20,70.00,70.0
14.10,0.095092,15.916708,47.9942,P1,-14.20,70.00,70.0
14.20,0.096430,15.915370,48.3051,P1,-14.20,70.00,70.0
14.30,0.097776,15.914024,48.6141,P1,-14.20,70.00,70.0
14.40,0.099129,15.912671,48.7276,C,-14.20,70.00,70.0
14.50,0.100483,15.911317,48.7579,C,-14.20,70.00,70.0
14.60,0.101838,15.909962,48.7882,C,-14.20,70.00,70.0
14.70,0.103194,15.908606,48.8185,C,-14.20,70.00,70.0
14.80,0.104550,15.907250,48.8487,C,-14.20,70.00,70.0
14.90,0.105908,15.905892,48.8790,C,-14.20,70.00,70.0
15.00,0.107266,15.904534,48.9092,C,-14.20,70.00,70.0
15.10,0.108625,15.903175,48.9394,C,-14.20,70.00,70.0
15.20,0.109985,15.901815,48.9697,C,-14.20,70.00,70.0
15.30,0.111346,15.900454,48.9999,C,-14.20,70.00,70.0
15.40,0.112707,15.899093,49.0301,C,-14.20,70.00,70.0
15.50,0.114069,15.897731,49.0602,C,-14.20,70.00,70.0
15.60,0.115433,15.896367,49.0904,C,-14.20,70.00,70.0
15.70,0.116797,15.895003,49.1206,C,-14.20,70.00,70.0
15.80,0.118162,15.893638,49.1507,C,-14.20,70.00,70.0
15.90,0.119527,15.892273,49.1809,C,-14.20,70.00,70.0
16.00,0.120894,15.890906,49.2110,C,-14.20,70.00,70.0
16.10,0.122262,15.889538,49.2411,C,-14.20,75.00,75.0
16.20,0.123630,15.888170,49.2712,C,-14.20,75.00,75.0
16.30,0.124999,15.886801,49.3013,C,-14.20,75.00,75.0
16.40,0.126369,15.885431,49.3314,C,-14.20,75.00,75.0
16.50,0.127740,15.884060,49.3614,C,-14.20,75.00,75.0
16.60,0.129111,15.882689,49.3915,C,-14.20,75.00,75.0
16.70,0.130484,15.881316,49.4215,C,-14.20,75.00,75.0
16.80,0.131857,15.879943,49.4516,C,-14.20,75.00,75.0
16.90,0.133231,15.878569,49.4816,C,-14.20,75.00,75.0
17.00,0.134606,15.877194,49.5116,C,-14.20,75.00,75.0
17.10,0.135982,15.875818,49.5416,C,-14.20,75.00,75.0
17.20,0.137358,15.874442,49.5716,C,-14.20,75.00,75.0
17.30,0.138736,15.873064,49.6016,C,-14.20,75.00,75.0
17.40,0.140114,15.871686,49.6316,C,-14.20,75.00,75.0
17.50,0.141493,15.870307,49.6615,C,-14.20,75.00,75.0
17.60,0.142873,15.868927,49.6915,C,-14.20,75.00,75.0
17.70,0.144254,15.867546,49.7214,C,-14.20,75.00,75.0
17.80,0.145636,15.866164,49.7513,C,-14.20,75.00,75.0
17.90,0.147018,15.864782,49.7812,C,-14.20,75.00,75.0
18.00,0.148401,15.863399,49.8111,C,-14.20,75.00,75.0
18.10,0.149785,15.862015,49.8410,C,-14.20,75.00,75.0
18.20,0.151170,15.860630,49.8709,C,-14.20,75.00,75.0
18.30,0.152556,15.859244,49.9008,C,-14.20,75.00,75.0
18.40,0.153943,15.857857,49.9306,C,-14.20,75.00,75.0
18.50,0.155330,15.856470,49.9605,C,-14.20,75.00,75.0
18.60,0.156718,15.855082,49.9903,C,-14.20,75.00,75.0
18.70,0.158107,15.853693,50.0201,C,-14.20,75.00,75.0
18.80,0.159497,15.852303,50.0499,C,-14.20,75.00,75.0
18.90,0.160888,15.850912,50.0797,C,-14.20,75.00,75.0
19.00,0.162280,15.849520,50.1095,C,-14.20,75.00,75.0
19.10,0.163672,15.848128,50.1393,C,-14.20,75.00,75.0
19.20,0.165065,15.846735,50.1691,C,-14.20,75.00,75.0
19.30,0.166459,15.845341,50.1988,C,-14.20,75.00,75.0
19.40,0.167854,15.843946,50.2301,C,-16.30,75.00,75.0
19.50,0.169250,15.842550,50.2672,C,-16.30,75.00,75.0
19.60,0.170647,15.841153,50.3043,C,-16.30,75.00,75.0
19.70,0.172045,15.839755,50.3414,C,-16.30,75.00,75.0
19.80,0.173444,15.838356,50.3785,C,-16.30,75.00,75.0
19.90,0.174844,15.836956,50.4156,C,-16.30,75.00,75.0
20.00,0.176245,15.835555,50.4527,C,-16.30,75.00,75.0
20.10,0.177647,15.834153,50.4897,C,-16.30,75.00,75.0
20.20,0.179050,15.832750,50.5268,C,-16.30,75.00,75.0
20.30,0.180454,15.831346,50.5638,C,-16.30,75.00,75.0
20.40,0.181859,15.829941,50.6008,C,-16.30,75.00,75.0
20.50,0.183265,15.828535,50.6378,C,-16.30,75.00,75.0
20.60,0.184672,15.827128,50.6748,C,-16.30,75.00,75.0
20.70,0.186080,15.825720,50.7118,C,-16.30,75.00,75.0
20.80,0.187490,15.824310,50.7487,C,-16.30,75.00,75.0
20.90,0.188900,15.822900,50.7857,C,-16.30,75.00,75.0
21.00,0.190311,15.821489,50.8226,C,-16.30,75.00,75.0
21.10,0.191724,15.820076,50.8595,C,-16.30,75.00,75.0
21.20,0.193137,15.818663,50.8964,C,-16.30,75.00,75.0
21.30,0.194551,15.817249,50.9333,C,-16.30,75.00,75.0
21.40,0.195967,15.815833,50.9702,C,-16.30,75.00,75.0
21.50,0.197383,15.814417,51.0070,C,-16.30,75.00,75.0
21.60,0.198800,15.813000,51.0439,C,-16.30,75.00,75.0
21.70,0.200219,15.811581,51.0807,C,-16.30,75.00,75.0
21.80,0.201638,15.810162,51.1175,C,-16.30,75.00,75.0
21.90,0.203059,15.808741,51.1543,C,-16.30,75.00,75.0
22.00,0.204480,15.807320,51.1911,C,-16.30,75.00,75.0
22.10,0.205903,15.805897,51.2279,C,-16.30,75.00,75.0
22.20,0.207326,15.804474,51.2647,C,-16.30,75.00,75.0
22.30,0.208751,15.803049,51.3014,C,-16.30,75.00,75.0
22.40,0.210177,15.801623,51.3381,C,-16.30,75.00,75.0
22.50,0.211603,15.800197,51.3748,C,-16.30,75.00,75.0
22.60,0.213031,15.798769,51.4115,C,-16.30,75.00,75.0
22.70,0.214460,15.797340,51.4482,C,-16.30,75.00,75.0
22.80,0.215889,15.795911,51.4849,C,-16.30,75.00,75.0
22.90,0.217320,15.794480,51.5216,C,-16.30,75.00,75.0
23.00,0.218752,15.793048,51.5582,C,-16.30,75.00,75.0
23.10,0.220184,15.791616,51.5949,C,-16.30,75.00,75.0
23.20,0.221618,15.790182,51.6315,C,-16.30,75.00,75.0
23.30,0.223053,15.788747,51.6681,C,-16.30,75.00,75.0
23.40,0.224489,15.787311,51.7047,C,-16.30,75.00,75.0
23.50,0.225925,15.785875,51.7412,C,-16.30,75.00,75.0
23.60,0.227363,15.784437,51.7778,C,-16.30,75.00,75.0
23.70,0.228802,15.782998,51.8144,C,-16.30,75.00,75.0
23.80,0.230242,15.781558,51.8509,C,-16.30,75.00,75.0
23.90,0.231683,15.780117,51.8874,C,-16.30,75.00,75.0
24.00,0.233125,15.778675,51.9239,C,-16.30,75.00,75.0
24.10,0.234568,15.777232,51.9604,C,-16.30,75.00,75.0
24.20,0.236011,15.775789,51.9969,C,-16.30,75.00,75.0
24.30,0.237456,15.774344,52.0334,C,-16.30,75.00,75.0
24.40,0.238902,15.772898,52.0698,C,-16.30,75.00,75.0
24.50,0.240349,15.771451,52.1062,C,-16.30,75.00,75.0
24.60,0.241797,15.770003,52.1427,C,-16.30,75.00,75.0
24.70,0.243246,15.768554,52.1791,C,-16.30,75.00,75.0
24.80,0.244696,15.767104,52.2155,C,-16.30,75.00,75.0
24.90,0.246147,15.765653,52.2518,C,-16.30,75.00,75.0
25.00,0.247599,15.764201,52.2882,C,-16.30,75.00,75.0
25.10,0.249052,15.762748,52.3246,C,-16.30,75.00,75.0
25.20,0.250506,15.761294,52.3609,C,-16.30,75.00,75.0
25.30,0.251961,15.759839,52.3972,C,-16.30,75.00,75.0
25.40,0.253417,15.758383,52.4335,C,-16.30,75.00,75.0
25.50,0.254874,15.756926,52.4698,C,-16.30,75.00,75.0
25.60,0.256332,15.755468,52.5061,C,-16.30,75.00,75.0
25.70,0.257791,15.754009,52.5424,C,-16.30,75.00,75.0
25.80,0.259251,15.752549,52.5786,C,-16.30,75.00,75.0
25.90,0.260712,15.751088,52.6149,C,-16.30,75.00,75.0
26.00,0.262175,15.749625,52.6511,C,-16.30,75.00,75.0
26.10,0.263638,15.748162,52.6873,C,-16.30,75.00,75.0
26.20,0.265102,15.746698,52.7235,C,-16.30,75.00,75.0
26.30,0.266567,15.745233,52.7597,C,-16.30,75.00,75.0
26.40,0.268033,15.743767,52.7958,C,-16.30,75.00,75.0
26.50,0.269500,15.742300,52.8320,C,-16.30,75.00,75.0
26.60,0.270968,15.740832,52.8681,C,-16.30,75.00,75.0
26.70,0.272437,15.739363,52.9042,C,-16.30,75.00,75.0
26.80,0.273907,15.737893,52.9404,C,-16.30,75.00,75.0
26.90,0.275378,15.736422,52.9765,C,-16.30,75.00,75.0
27.00,0.276851,15.734949,53.0125,C,-16.30,75.00,75.0
27.10,0.278324,15.733476,53.0486,C,-16.30,75.00,75.0
27.20,0.279798,15.732002,53.0847,C,-16.30,75.00,75.0
27.30,0.281273,15.730527,53.1207,C,-16.30,75.00,75.0
27.40,0.282749,15.729051,53.1567,C,-16.30,75.00,75.0
27.50,0.284226,15.727574,53.1927,C,-16.30,75.00,75.0
27.60,0.285704,15.726096,53.2287,C,-16.30,75.00,75.0
27.70,0.287183,15.724617,53.2647,C,-16.30,75.00,75.0
27.80,0.288664,15.723136,53.3007,C,-16.30,75.00,75.0
27.90,0.290145,15.721655,53.3366,C,-16.30,75.00,75.0
28.00,0.291627,15.720173,53.3726,C,-16.30,75.00,75.0
28.10,0.293110,15.718690,53.4085,C,-16.30,75.00,75.0
28.20,0.294594,15.717206,53.4444,C,-16.30,75.00,75.0
28.30,0.296079,15.715721,53.4803,C,-16.30,75.00,75.0
28.40,0.297565,15.714235,53.5162,C,-16.30,75.00,75.0
28.50,0.299052,15.712748,53.5521,C,-16.30,75.00,75.0
28.60,0.300541,15.711259,53.5879,C,-16.30,75.00,75.0
28.70,0.302030,15.709770,53.6238,C,-16.30,75.00,75.0
28.80,0.303520,15.708280,53.6596,C,-16.30,75.00,75.0
28.90,0.305011,15.706789,53.6954,C,-16.30,75.00,75.0
29.00,0.306503,15.705297,53.7312,C,-16.30,75.00,75.0
29.10,0.307996,15.703804,53.7670,C,-16.30,75.00,75.0
29.20,0.309490,15.702310,53.8028,C,-16.30,75.00,75.0
29.30,0.310985,15.700815,53.8385,C,-16.30,75.00,75.0
29.40,0.312481,15.699319,53.8743,C,-16.30,75.00,75.0
29.50,0.313978,15.697822,53.9100,C,-16.30,75.00,75.0
29.60,0.315476,15.696324,53.9457,C,-16.30,75.00,75.0
29.70,0.316975,15.694825,53.9814,C,-16.30,75.00,75.0
29.80,0.318475,15.693325,54.0171,C,-16.30,75.00,75.0
29.90,0.319976,15.691824,54.0528,C,-16.30,75.00,75.0
30.00,0.321478,15.690322,54.0885,C,-16.30,75.00,75.0
30.10,0.322981,15.688819,54.1241,C,-16.30,75.00,75.0
30.20,0.324485,15.687315,54.1597,C,-16.30,75.00,75.0
30.30,0.325990,15.685810,54.1953,C,-16.30,75.00,75.0
30.40,0.327496,15.684304,54.2309,C,-16.30,75.00,75.0
30.50,0.329003,15.682797,54.2665,C,-16.30,75.00,75.0
30.60,0.330511,15.681289,54.3021,C,-16.30,75.00,75.0
30.70,0.332020,15.679780,54.3377,C,-16.30,75.00,75.0
30.80,0.333530,15.678270,54.3732,C,-16.30,75.00,75.0
30.90,0.335041,15.676759,54.4087,C,-16.30,75.00,75.0
31.00,0.336553,15.675247,54.4443,C,-16.30,75.00,75.0
31.10,0.338066,15.673734,54.4798,C,-16.30,75.00,75.0
31.20,0.339580,15.672220,54.5153,C,-16.30,75.00,75.0
31.30,0.341094,15.670706,54.5507,C,-16.30,75.00,75.0
31.40,0.342610,15.669190,54.5862,C,-16.30,75.00,75.0
31.50,0.344127,15.667673,54.6216,C,-16.30,75.00,75.0
31.60,0.345645,15.666155,54.6571,C,-16.30,75.00,75.0
31.70,0.347164,15.664636,54.6925,C,-16.30,75.00,75.0
31.80,0.348684,15.663116,54.7279,C,-16.30,75.00,75.0
31.90,0.350204,15.661596,54.7633,C,-16.30,75.00,75.0
32.00,0.351726,15.660074,54.7987,C,-16.30,75.00,75.0
32.10,0.353249,15.658551,54.8340,C,-16.30,75.00,75.0
32.20,0.354772,15.657028,54.8694,C,-16.30,75.00,75.0
32.30,0.356297,15.655503,54.9047,C,-16.30,75.00,75.0
32.40,0.357823,15.653977,54.9400,C,-16.30,75.00,75.0
32.50,0.359349,15.652451,54.9753,C,-16.30,75.00,75.0
32.60,0.360877,15.650923,55.0106,C,-16.30,75.00,75.0
32.70,0.362406,15.649394,55.0459,C,-16.30,75.00,75.0
32.80,0.363935,15.647865,55.0812,C,-16.30,75.00,75.0
32.90,0.365466,15.646334,55.1164,C,-16.30,75.00,75.0
33.00,0.366997,15.644803,55.1516,C,-16.30,75.00,75.0
33.10,0.368530,15.643270,55.1869,C,-16.30,75.00,75.0
33.20,0.370063,15.641737,55.2221,C,-16.30,75.00,75.0
33.30,0.371598,15.640202,55.2573,C,-16.30,75.00,75.0
33.40,0.373133,15.638667,55.2924,C,-16.30,75.00,75.0
33.50,0.374670,15.637130,55.3276,C,-16.30,75.00,75.0
33.60,0.376207,15.635593,55.3627,C,-16.30,75.00,75.0
33.70,0.377746,15.634054,55.3979,C,-16.30,75.00,75.0
33.80,0.379285,15.632515,55.4330,C,-16.30,75.00,75.0
33.90,0.380825,15.630975,55.4681,C,-16.30,75.00,75.0
34.00,0.382367,15.629433,55.5032,C,-16.30,75.00,75.0
34.10,0.383909,15.627891,55.5383,C,-16.30,75.00,75.0
34.20,0.385452,15.626348,55.5733,C,-16.30,75.00,75.0
34.30,0.386996,15.624804,55.6084,C,-16.30,75.00,75.0
34.40,0.388542,15.623258,55.6434,C,-16.30,75.00,75.0
34.50,0.390088,15.621712,55.6785,C,-16.30,75.00,75.0
34.60,0.391635,15.620165,55.7135,C,-16.30,75.00,75.0
34.70,0.393183,15.618617,55.7485,C,-16.30,75.00,75.0
34.80,0.394732,15.617068,55.7834,C,-16.30,75.00,75.0
34.90,0.396282,15.615518,55.8184,C,-16.30,75.00,75.0
35.00,0.397833,15.613967,55.8534,C,-16.30,75.00,75.0
35.10,0.399385,15.612415,55.8883,C,-16.30,75.00,75.0
35.20,0.400938,15.610862,55.9232,C,-16.30,75.00,75.0
35.30,0.402492,15.609308,55.9581,C,-16.30,75.00,75.0
35.40,0.404047,15.607753,55.9930,C,-16.30,75.00,75.0
35.50,0.405603,15.606197,56.0279,C,-16.30,75.00,75.0
35.60,0.407160,15.604640,56.0628,C,-16.30,75.00,75.0
35.70,0.408718,15.603082,56.0976,C,-16.30,75.00,75.0
35.80,0.410277,15.601523,56.1325,C,-16.30,75.00,75.0
35.90,0.411836,15.599964,56.1673,C,-16.30,75.00,75.0
36.00,0.413397,15.598403,56.2021,C,-16.30,75.00,75.0
36.10,0.414959,15.596841,56.2369,C,-16.30,75.00,75.0
36.20,0.416522,15.595278,56.2717,C,-16.30,75.00,75.0
36.30,0.418085,15.593715,56.3064,C,-16.30,75.00,75.0
36.40,0.419650,15.592150,56.3412,C,-16.30,75.00,75.0
36.50,0.421215,15.590585,56.3759,C,-16.30,75.00,75.0
36.60,0.422782,15.589018,56.4107,C,-16.30,75.00,75.0
36.70,0.424349,15.587451,56.4454,C,-16.30,75.00,75.0
36.80,0.425918,15.585882,56.4801,C,-16.30,75.00,75.0
36.90,0.427487,15.584313,56.5147,C,-16.30,75.00,75.0
37.00,0.429058,15.582742,56.5494,C,-16.30,75.00,75.0
37.10,0.430629,15.581171,56.5841,C,-16.30,75.00,75.0
37.20,0.432201,15.579599,56.6187,C,-16.30,75.00,75.0
37.30,0.433775,15.578025,56.6533,C,-16.30,75.00,75.0
37.40,0.435349,15.576451,56.6879,C,-16.30,75.00,75.0
37.50,0.436924,15.574876,56.7225,C,-16.30,75.00,75.0
37.60,0.438500,15.573300,56.7571,C,-16.30,75.00,75.0
37.70,0.440077,15.571723,56.7917,C,-16.30,75.00,75.0
37.80,0.441655,15.570145,56.8262,C,-16.30,75.00,75.0
37.90,0.443234,15.568566,56.8608,C,-16.30,75.00,75.0
38.00,0.444814,15.566986,56.8953,C,-16.30,75.00,75.0
38.10,0.446395,15.565405,56.9298,C,-16.30,75.00,75.0
38.20,0.447977,15.563823,56.9643,C,-16.30,75.00,75.0
38.30,0.449560,15.562240,56.9988,C,-16.30,75.00,75.0
38.40,0.451144,15.560656,57.0333,C,-16.30,75.00,75.0
38.50,0.452729,15.559071,57.0677,C,-16.30,75.00,75.0
38.60,0.454314,15.557486,57.1022,C,-16.30,75.00,75.0
38.70,0.455901,15.555899,57.1366,C,-16.30,75.00,75.0
38.80,0.457489,15.554311,57.1710,C,-16.30,75.00,75.0
38.90,0.459077,15.552723,57.2054,C,-16.30,75.00,75.0
39.00,0.460667,15.551133,57.2398,C,-16.30,75.00,75.0
39.10,0.462257,15.549543,57.2742,C,-16.30,75.00,75.0
39.20,0.463849,15.547951,57.3085,C,-16.30,75.00,75.0
39.30,0.465441,15.546359,57.3429,C,-16.30,75.00,75.0
39.40,0.467035,15.544765,57.3772,C,-16.30,75.00,75.0
39.50,0.468629,15.543171,57.4115,C,-16.30,75.00,75.0
39.60,0.470224,15.541576,57.4458,C,-16.30,75.00,75.0
39.70,0.471821,15.539979,57.4801,C,-16.30,75.00,75.0
39.80,0.473418,15.538382,57.5144,C,-16.30,75.00,75.0
39.90,0.475016,15.536784,57.5486,C,-16.30,75.00,75.0
40.00,0.476615,15.535185,57.5829,C,-16.30,75.00,75.0
40.10,0.478215,15.533585,57.6171,C,-16.30,75.00,75.0
40.20,0.479816,15.531984,57.6513,C,-16.30,75.00,75.0
40.30,0.481418,15.530382,57.6855,C,-16.30,75.00,75.0
40.40,0.483021,15.528779,57.7197,C,-16.30,75.00,75.0
