position,v_std,t_std
23.389000,32.7125,18.559
23.390000,32.8237,18.669
23.391000,32.9349,18.779
23.392000,33.0462,18.890
23.393000,33.1574,19.000
23.394000,33.2596,19.107
23.395000,33.3619,19.214
23.396000,33.4641,19.321
23.397000,33.5663,19.428
23.398000,33.6686,19.535
23.399000,33.7708,19.642
23.400000,33.8730,19.749
23.401000,33.9753,19.856
23.402000,34.0775,19.963
23.403000,34.1745,20.068
23.404000,34.2686,20.172
23.405000,34.3628,20.276
23.406000,34.4570,20.380
23.407000,34.5512,20.484
23.408000,34.6453,20.589
23.409000,34.7395,20.693
23.410000,34.8337,20.797
23.411000,34.9279,20.901
23.412000,35.0217,21.005
23.413000,35.1086,21.106
23.414000,35.1955,21.208
23.415000,35.2825,21.310
23.416000,35.3694,21.411
23.417000,35.4563,21.513
23.418000,35.5433,21.614
23.419000,35.6302,21.716
23.420000,35.7171,21.817
23.421000,35.8041,21.919
23.422000,35.8897,22.020
23.423000,35.9701,22.119
23.424000,36.0505,22.218
23.425000,36.1309,22.317
23.426000,36.2113,22.417
23.427000,36.2917,22.516
23.428000,36.3721,22.615
23.429000,36.4525,22.714
23.430000,36.5329,22.814
23.431000,36.6133,22.913
23.432000,36.6930,23.012
23.433000,36.7675,23.109
23.434000,36.8420,23.206
23.435000,36.9165,23.303
23.436000,36.9909,23.400
23.437000,37.0654,23.497
23.438000,37.1399,23.594
23.439000,37.2144,23.691
23.440000,37.2889,23.788
23.441000,37.3634,23.886
23.442000,37.4378,23.983
23.443000,37.5079,24.078
23.444000,37.5770,24.173
23.445000,37.6461,24.269
23.446000,37.7152,24.364
23.447000,37.7843,24.459
23.448000,37.8535,24.554
23.449000,37.9226,24.649
23.450000,37.9917,24.745
23.451000,38.0608,24.840
23.452000,38.1299,24.935
23.453000,38.1974,25.030
23.454000,38.2617,25.123
23.455000,38.3259,25.216
23.456000,38.3901,25.310
23.457000,38.4543,25.403
23.458000,38.5185,25.497
23.459000,38.5827,25.590
23.460000,38.6469,25.684
23.461000,38.7111,25.777
23.462000,38.7753,25.870
23.463000,38.8396,25.964
23.464000,38.9010,26.056
23.465000,38.9608,26.148
23.466000,39.0205,26.240
23.467000,39.0802,26.332
23.468000,39.1400,26.424
23.469000,39.1997,26.516
23.470000,39.2594,26.607
23.471000,39.3192,26.699
23.472000,39.3789,26.791
23.473000,39.4386,26.883
23.474000,39.4984,26.975
23.475000,39.5551,27.066
23.476000,39.6108,27.156
23.477000,39.6664,27.246
23.478000,39.7221,27.337
23.479000,39.7777,27.427
23.480000,39.8333,27.518
23.481000,39.8890,27.608
23.482000,39.9446,27.698
23.483000,40.0002,27.789
23.484000,40.0559,27.879
23.485000,40.1115,27.970
23.486000,40.1647,28.059
23.487000,40.2165,28.148
23.488000,40.2684,28.237
23.489000,40.3203,28.326
23.490000,40.3722,28.415
23.491000,40.4240,28.504
23.492000,40.4759,28.593
23.493000,40.5278,28.682
23.494000,40.5797,28.771
23.495000,40.6315,28.860
23.496000,40.6834,28.949
23.497000,40.7338,29.038
23.498000,40.7822,29.126
23.499000,40.8306,29.214
23.500000,40.8790,29.301
23.501000,40.9275,29.389
23.502000,40.9759,29.477
23.503000,41.0243,29.565
23.504000,41.0727,29.653
23.505000,41.1211,29.741
23.506000,41.1695,29.828
23.507000,41.2179,29.916
23.508000,41.2662,30.004
23.509000,41.3114,30.091
23.510000,41.3567,30.177
23.511000,41.4019,30.264
23.512000,41.4471,30.351
23.513000,41.4923,30.437
23.514000,41.5376,30.524
23.515000,41.5828,30.611
23.516000,41.6280,30.697
23.517000,41.6733,30.784
23.518000,41.7185,30.871
23.519000,41.7637,30.957
23.520000,41.8076,31.044
23.521000,41.8501,31.129
23.522000,41.8927,31.215
23.523000,41.9352,31.301
23.524000,41.9778,31.386
23.525000,42.0204,31.472
23.526000,42.0629,31.557
23.527000,42.1055,31.643
23.528000,42.1480,31.729
23.529000,42.1906,31.814
23.530000,42.2332,31.900
23.531000,42.2757,31.986
23.532000,42.3172,32.070
23.533000,42.3584,32.155
23.534000,42.3996,32.240
23.535000,42.4409,32.324
23.536000,42.4821,32.409
23.537000,42.5233,32.494
23.538000,42.5645,32.578
23.539000,42.6058,32.663
23.540000,42.6470,32.748
23.541000,42.6882,32.832
23.542000,42.7295,32.917
23.543000,42.7707,33.002
23.544000,42.8108,33.085
23.545000,42.8509,33.169
23.546000,42.8909,33.253
23.547000,42.9310,33.336
23.548000,42.9711,33.420
23.549000,43.0112,33.504
23.550000,43.0513,33.587
23.551000,43.0914,33.671
23.552000,43.1315,33.755
23.553000,43.1716,33.839
23.554000,43.2117,33.922
23.555000,43.2517,34.006
23.556000,43.2907,34.089
23.557000,43.3297,34.171
23.558000,43.3687,34.254
23.559000,43.4076,34.337
23.560000,43.4466,34.420
23.561000,43.4856,34.503
23.562000,43.5246,34.585
23.563000,43.5636,34.668
23.564000,43.6026,34.751
23.565000,43.6416,34.834
23.566000,43.6806,34.916
23.567000,43.7196,34.999
23.568000,43.7560,35.081
23.569000,43.7924,35.163
23.570000,43.8288,35.245
23.571000,43.8652,35.327
23.572000,43.9016,35.409
23.573000,43.9380,35.491
23.574000,43.9744,35.573
23.575000,44.0108,35.655
23.576000,44.0472,35.736
23.577000,44.0836,35.818
23.578000,44.1200,35.900
23.579000,44.1564,35.982
23.580000,44.1915,36.064
23.581000,44.2261,36.145
23.582000,44.2608,36.226
23.583000,44.2955,36.307
23.584000,44.3302,36.388
23.585000,44.3649,36.469
23.586000,44.3996,36.550
23.587000,44.4343,36.631
23.588000,44.4690,36.712
23.589000,44.5037,36.794
23.590000,44.5384,36.875
23.591000,44.5731,36.956
23.592000,44.6074,37.037
23.593000,44.6412,37.117
23.594000,44.6750,37.197
23.595000,44.7088,37.278
23.596000,44.7426,37.358
23.597000,44.7764,37.438
23.598000,44.8102,37.519
23.599000,44.8440,37.599
23.600000,44.8778,37.679
23.601000,44.9116,37.760
23.602000,44.9453,37.840
23.603000,44.9791,37.920
23.604000,45.0129,38.001
23.605000,45.0459,38.080
23.606000,45.0788,38.160
23.607000,45.1117,38.240
23.608000,45.1446,38.319
23.609000,45.1775,38.399
23.610000,45.2105,38.478
23.611000,45.2434,38.558
23.612000,45.2763,38.638
23.613000,45.3092,38.717
23.614000,45.3422,38.797
23.615000,45.3751,38.876
23.616000,45.4080,38.956
23.617000,45.4405,39.035
23.618000,45.4726,39.114
23.619000,45.5047,39.193
23.620000,45.5368,39.272
23.621000,45.5689,39.351
23.622000,45.6009,39.430
23.623000,45.6330,39.509
23.624000,45.6651,39.588
23.625000,45.6972,39.666
23.626000,45.7293,39.745
23.627000,45.7613,39.824
23.628000,45.7934,39.903
23.629000,45.8255,39.982
23.630000,45.8570,40.060
23.631000,45.8882,40.139
23.632000,45.9195,40.217
23.633000,45.9508,40.295
23.634000,45.9820,40.373
23.635000,46.0133,40.451
23.636000,46.0446,40.530
23.637000,46.0758,40.608
23.638000,46.1071,40.686
23.639000,46.1384,40.764
23.640000,46.1696,40.842
23.641000,46.2009,40.921
23.642000,46.2321,40.999
23.643000,46.2626,41.076
23.644000,46.2931,41.154
23.645000,46.3236,41.231
23.646000,46.3541,41.309
23.647000,46.3846,41.386
23.648000,46.4150,41.464
23.649000,46.4455,41.542
23.650000,46.4760,41.619
23.651000,46.5065,41.697
23.652000,46.5369,41.774
23.653000,46.5674,41.852
23.654000,46.5979,41.929
23.655000,46.6283,42.007
23.656000,46.6580,42.084
23.657000,46.6878,42.160
23.658000,46.7175,42.237
23.659000,46.7472,42.314
23.660000,46.7769,42.391
23.661000,46.8066,42.468
23.662000,46.8363,42.545
23.663000,46.8661,42.622
23.664000,46.8958,42.699
23.665000,46.9255,42.776
23.666000,46.9552,42.852
23.667000,46.9849,42.929
23.668000,47.0146,43.006
23.669000,47.0436,43.082
23.670000,47.0725,43.159
23.671000,47.1015,43.235
23.672000,47.1305,43.311
23.673000,47.1595,43.387
23.674000,47.1885,43.464
23.675000,47.2174,43.540
23.676000,47.2464,43.616
23.677000,47.2754,43.693
23.678000,47.3044,43.769
23.679000,47.3334,43.845
23.680000,47.3623,43.921
23.681000,47.3913,43.998
23.682000,47.4196,44.073
23.683000,47.4479,44.149
23.684000,47.4762,44.225
23.685000,47.5044,44.300
23.686000,47.5327,44.376
23.687000,47.5610,44.452
23.688000,47.5892,44.527
23.689000,47.6175,44.603
23.690000,47.6458,44.679
23.691000,47.6740,44.754
23.692000,47.7023,44.830
23.693000,47.7306,44.906
23.694000,47.7588,44.981
23.695000,47.7866,45.056
23.696000,47.8141,45.131
23.697000,47.8417,45.207
23.698000,47.8693,45.282
23.699000,47.8969,45.357
23.700000,47.9244,45.432
23.701000,47.9520,45.507
23.702000,47.9796,45.582
23.703000,48.0072,45.657
23.704000,48.0348,45.732
23.705000,48.0623,45.807
23.706000,48.0899,45.882
23.707000,48.1175,45.957
23.708000,48.1448,46.032
23.709000,48.1717,46.107
23.710000,48.1986,46.181
23.711000,48.2255,46.256
23.712000,48.2524,46.330
23.713000,48.2793,46.405
23.714000,48.3062,46.479
23.715000,48.3331,46.554
23.716000,48.3600,46.628
23.717000,48.3869,46.703
23.718000,48.4138,46.777
23.719000,48.4407,46.852
23.720000,48.4676,46.926
23.721000,48.4945,47.001
23.722000,48.5208,47.075
23.723000,48.5471,47.149
23.724000,48.5733,47.223
23.725000,48.5996,47.297
23.726000,48.6258,47.371
23.727000,48.6521,47.445
23.728000,48.6783,47.518
23.729000,48.7046,47.592
23.730000,48.7309,47.666
23.731000,48.7571,47.740
23.732000,48.7834,47.814
23.733000,48.8096,47.888
23.734000,48.8359,47.962
23.735000,48.8618,48.036
23.736000,48.8875,48.109
23.737000,48.9131,48.183
23.738000,48.9387,48.256
23.739000,48.9644,48.330
23.740000,48.9900,48.403
23.741000,49.0156,48.477
23.742000,49.0412,48.550
23.743000,49.0669,48.623
23.744000,49.0925,48.697
23.745000,49.1181,48.770
23.746000,49.1438,48.844
23.747000,49.1694,48.917
23.748000,49.1950,48.991
23.749000,49.2201,49.064
23.750000,49.2451,49.136
23.751000,49.2702,49.209
23.752000,49.2952,49.282
23.753000,49.3202,49.355
23.754000,49.3452,49.428
23.755000,49.3702,49.501
23.756000,49.3952,49.574
23.757000,49.4203,49.647
23.758000,49.4453,49.720
23.759000,49.4703,49.793
23.760000,49.4953,49.866
23.761000,49.5203,49.939
23.762000,49.5454,50.011
23.763000,49.5706,50.084
23.764000,49.5959,50.156
23.765000,49.6211,50.229
23.766000,49.6464,50.301
23.767000,49.6716,50.373
23.768000,49.6968,50.446
23.769000,49.7221,50.518
23.770000,49.7473,50.591
23.771000,49.7726,50.663
23.772000,49.7978,50.735
23.773000,49.8230,50.808
23.774000,49.8483,50.880
23.775000,49.8735,50.953
23.776000,49.8990,51.025
23.777000,49.9248,51.097
23.778000,49.9506,51.169
23.779000,49.9765,51.241
23.780000,50.0023,51.313
23.781000,50.0282,51.384
23.782000,50.0540,51.456
23.783000,50.0798,51.528
23.784000,50.1057,51.600
23.785000,50.1315,51.672
23.786000,50.1574,51.744
23.787000,50.1832,51.816
23.788000,50.2090,51.888
23.789000,50.2349,51.960
23.790000,50.2604,52.031
23.791000,50.2857,52.103
23.792000,50.3109,52.174
23.793000,50.3361,52.245
23.794000,50.3613,52.317
23.795000,50.3866,52.388
23.796000,50.4118,52.460
23.797000,50.4370,52.531
23.798000,50.4622,52.602
23.799000,50.4874,52.674
23.800000,50.5127,52.745
23.801000,50.5379,52.817
23.802000,50.5631,52.888
23.803000,50.5883,52.959
23.804000,50.6133,53.031
23.805000,50.6379,53.101
23.806000,50.6625,53.172
23.807000,50.6872,53.243
23.808000,50.7118,53.314
23.809000,50.7364,53.385
23.810000,50.7610,53.456
23.811000,50.7856,53.527
23.812000,50.8103,53.598
23.813000,50.8349,53.669
23.814000,50.8595,53.739
23.815000,50.8841,53.810
23.816000,50.9088,53.881
23.817000,50.9334,53.952
23.818000,50.9578,54.023
23.819000,50.9819,54.093
23.820000,51.0059,54.164
23.821000,51.0299,54.234
23.822000,51.0540,54.305
23.823000,51.0780,54.375
23.824000,51.1021,54.445
23.825000,51.1261,54.516
23.826000,51.1501,54.586
23.827000,51.1742,54.657
23.828000,51.1982,54.727
23.829000,51.2223,54.797
23.830000,51.2463,54.868
23.831000,51.2703,54.938
23.832000,51.2943,55.009
23.833000,51.3178,55.079
23.834000,51.3413,55.149
23.835000,51.3647,55.219
23.836000,51.3882,55.289
23.837000,51.4117,55.358
23.838000,51.4352,55.428
23.839000,51.4587,55.498
23.840000,51.4821,55.568
23.841000,51.5056,55.638
23.842000,51.5291,55.708
23.843000,51.5526,55.778
23.844000,51.5760,55.848
23.845000,51.5995,55.918
23.846000,51.6230,55.988
23.847000,51.6460,56.058
23.848000,51.6689,56.127
23.849000,51.6919,56.197
23.850000,51.7148,56.266
23.851000,51.7377,56.336
23.852000,51.7607,56.405
23.853000,51.7836,56.475
23.854000,51.8065,56.544
23.855000,51.8294,56.614
23.856000,51.8524,56.683
23.857000,51.8753,56.753
23.858000,51.8982,56.822
23.859000,51.9212,56.892
23.860000,51.9441,56.961
23.861000,51.9668,57.031
23.862000,51.9892,57.100
23.863000,52.0116,57.169
23.864000,52.0340,57.238
23.865000,52.0564,57.307
23.866000,52.0788,57.376
23.867000,52.1012,57.445
23.868000,52.1236,57.514
23.869000,52.1460,57.583
23.870000,52.1684,57.652
23.871000,52.1908,57.721
23.872000,52.2132,57.790
23.873000,52.2356,57.859
23.874000,52.2580,57.928
23.875000,52.2803,57.998
23.876000,52.3022,58.066
23.877000,52.3241,58.135
23.878000,52.3460,58.203
23.879000,52.3679,58.272
23.880000,52.3898,58.341
23.881000,52.4117,58.409
23.882000,52.4335,58.478
23.883000,52.4554,58.547
23.884000,52.4773,58.615
23.885000,52.4992,58.684
23.886000,52.5211,58.753
23.887000,52.5429,58.821
23.888000,52.5648,58.890
23.889000,52.5867,58.959
23.890000,52.6084,59.027
23.891000,52.6298,59.095
23.892000,52.6511,59.164
23.893000,52.6725,59.232
23.894000,52.6939,59.300
23.895000,52.7153,59.368
23.896000,52.7366,59.436
23.897000,52.7580,59.505
23.898000,52.7794,59.573
23.899000,52.8008,59.641
23.900000,52.8222,59.709
23.901000,52.8435,59.778
23.902000,52.8649,59.846
23.903000,52.8863,59.914
23.904000,52.9077,59.982
23.905000,52.9287,60.050
23.906000,52.9496,60.118
23.907000,52.9705,60.186
23.908000,52.9914,60.254
23.909000,53.0123,60.322
23.910000,53.0331,60.389
23.911000,53.0540,60.457
23.912000,53.0749,60.525
23.913000,53.0958,60.593
23.914000,53.1167,60.661
23.915000,53.1376,60.729
23.916000,53.1585,60.797
23.917000,53.1794,60.864
23.918000,53.2003,60.932
23.919000,53.2212,61.000
23.920000,53.2416,61.067
23.921000,53.2620,61.135
23.922000,53.2824,61.202
23.923000,53.3028,61.270
23.924000,53.3232,61.337
23.925000,53.3437,61.405
23.926000,53.3641,61.472
23.927000,53.3845,61.540
23.928000,53.4049,61.607
23.929000,53.4253,61.674
23.930000,53.4457,61.742
23.931000,53.4662,61.809
23.932000,53.4866,61.877
23.933000,53.5070,61.944
23.934000,53.5273,62.012
23.935000,53.5473,62.079
23.936000,53.5672,62.146
23.937000,53.5872,62.213
23.938000,53.6071,62.280
23.939000,53.6271,62.347
23.940000,53.6471,62.414
23.941000,53.6670,62.481
23.942000,53.6870,62.548
23.943000,53.7069,62.615
23.944000,53.7269,62.682
23.945000,53.7468,62.749
23.946000,53.7668,62.817
23.947000,53.7867,62.884
23.948000,53.8067,62.951
23.949000,53.8265,63.018
23.950000,53.8460,63.084
23.951000,53.8655,63.151
23.952000,53.8851,63.218
23.953000,53.9046,63.284
23.954000,53.9241,63.351
23.955000,53.9436,63.418
23.956000,53.9631,63.485
23.957000,53.9826,63.551
23.958000,54.0021,63.618
23.959000,54.0216,63.685
23.960000,54.0411,63.751
23.961000,54.0606,63.818
23.962000,54.0801,63.885
23.963000,54.0996,63.951
23.964000,54.1190,64.018
23.965000,54.1381,64.084
23.966000,54.1571,64.151
23.967000,54.1762,64.217
23.968000,54.1953,64.283
23.969000,54.2144,64.350
23.970000,54.2334,64.416
23.971000,54.2525,64.483
23.972000,54.2716,64.549
23.973000,54.2906,64.615
23.974000,54.3097,64.682
23.975000,54.3288,64.748
23.976000,54.3478,64.814
23.977000,54.3669,64.881
23.978000,54.3860,64.947
23.979000,54.4050,65.013
23.980000,54.4237,65.079
23.981000,54.4424,65.145
23.982000,54.4611,65.211
23.983000,54.4797,65.277
23.984000,54.4984,65.343
23.985000,54.5171,65.409
23.986000,54.5358,65.476
23.987000,54.5545,65.542
23.988000,54.5732,65.608
23.989000,54.5919,65.674
23.990000,54.6106,65.740
23.991000,54.6154,65.806
23.992000,54.5761,65.872
23.993000,54.5367,65.938
23.994000,54.4974,66.005
23.995000,54.4580,66.071
23.996000,54.4186,66.137
23.997000,54.3793,66.203
23.998000,54.3399,66.270
23.999000,54.3005,66.336
24.000000,54.2612,66.402
24.001000,54.2218,66.468
24.002000,54.1824,66.535
24.003000,54.1431,66.601
24.004000,54.1037,66.667
24.005000,54.0643,66.734
24.006000,54.0249,66.800
24.007000,53.9853,66.867
24.008000,53.9456,66.934
24.009000,53.9059,67.001
24.010000,53.8662,67.068
24.011000,53.8266,67.135
24.012000,53.7869,67.202
24.013000,53.7472,67.269
24.014000,53.7075,67.336
24.015000,53.6679,67.403
24.016000,53.6282,67.470
24.017000,53.5885,67.537
24.018000,53.5489,67.604
24.019000,53.5092,67.671
24.020000,53.4695,67.738
24.021000,53.4298,67.805
24.022000,53.3898,67.873
24.023000,53.3498,67.941
24.024000,53.3098,68.008
24.025000,53.2698,68.076
24.026000,53.2298,68.144
24.027000,53.1898,68.212
24.028000,53.1498,68.279
24.029000,53.1098,68.347
24.030000,53.0699,68.415
24.031000,53.0299,68.483
24.032000,52.9899,68.550
24.033000,52.9499,68.618
24.034000,52.9099,68.686
24.035000,52.8699,68.753
24.036000,52.8298,68.822
24.037000,52.7895,68.890
24.038000,52.7491,68.959
24.039000,52.7088,69.027
24.040000,52.6685,69.096
24.041000,52.6282,69.164
24.042000,52.5879,69.233
24.043000,52.5476,69.301
24.044000,52.5073,69.370
24.045000,52.4670,69.438
24.046000,52.4266,69.507
24.047000,52.3863,69.575
24.048000,52.3460,69.644
24.049000,52.3057,69.712
24.050000,52.2654,69.781
24.051000,52.2248,69.850
24.052000,52.1842,69.919
24.053000,52.1435,69.988
24.054000,52.1029,70.058
24.055000,52.0622,70.127
24.056000,52.0216,70.196
24.057000,51.9809,70.265
24.058000,51.9403,70.335
24.059000,51.8996,70.404
24.060000,51.8590,70.473
24.061000,51.8184,70.543
24.062000,51.7777,70.612
24.063000,51.7371,70.681
24.064000,51.6964,70.750
24.065000,51.6556,70.820
24.066000,51.6147,70.890
24.067000,51.5737,70.960
24.068000,51.5327,71.030
24.069000,51.4917,71.100
24.070000,51.4507,71.170
24.071000,51.4098,71.240
24.072000,51.3688,71.311
24.073000,51.3278,71.381
24.074000,51.2868,71.451
24.075000,51.2458,71.521
24.076000,51.2048,71.591
24.077000,51.1639,71.661
24.078000,51.1229,71.731
24.079000,51.0818,71.801
24.080000,51.0405,71.872
24.081000,50.9992,71.943
24.082000,50.9579,72.014
24.083000,50.9165,72.085
24.084000,50.8752,72.156
24.085000,50.8339,72.226
24.086000,50.7926,72.297
24.087000,50.7512,72.368
24.088000,50.7099,72.439
24.089000,50.6686,72.510
24.090000,50.6272,72.581
24.091000,50.5859,72.652
24.092000,50.5446,72.723
24.093000,50.5032,72.793
24.094000,50.4616,72.865
24.095000,50.4199,72.937
24.096000,50.3782,73.009
24.097000,50.3365,73.080
24.098000,50.2948,73.152
24.099000,50.2532,73.224
24.100000,50.2115,73.295
24.101000,50.1698,73.367
24.102000,50.1281,73.439
24.103000,50.0864,73.510
24.104000,50.0447,73.582
24.105000,50.0031,73.654
24.106000,49.9614,73.726
24.107000,49.9197,73.797
24.108000,49.8776,73.870
24.109000,49.8356,73.942
24.110000,49.7935,74.015
24.111000,49.7515,74.087
24.112000,49.7095,74.160
24.113000,49.6674,74.233
24.114000,49.6254,74.305
24.115000,49.5833,74.378
24.116000,49.5413,74.450
24.117000,49.4992,74.523
24.118000,49.4572,74.595
24.119000,49.4151,74.668
24.120000,49.3731,74.740
24.121000,49.3309,74.813
24.122000,49.2885,74.886
24.123000,49.2461,74.960
24.124000,49.2037,75.033
24.125000,49.1613,75.107
24.126000,49.1189,75.180
24.127000,49.0765,75.253
24.128000,49.0340,75.327
24.129000,48.9916,75.400
24.130000,48.9492,75.474
24.131000,48.9068,75.547
24.132000,48.8644,75.620
24.133000,48.8220,75.694
24.134000,48.7796,75.767
24.135000,48.7369,75.841
24.136000,48.6941,75.915
24.137000,48.6513,75.990
24.138000,48.6085,76.064
24.139000,48.5657,76.138
24.140000,48.5229,76.212
24.141000,48.4801,76.287
24.142000,48.4373,76.361
24.143000,48.3945,76.435
24.144000,48.3517,76.510
24.145000,48.3089,76.584
24.146000,48.2661,76.658
24.147000,48.2233,76.732
24.148000,48.1805,76.807
24.149000,48.1373,76.882
24.150000,48.0941,76.957
24.151000,48.0509,77.032
24.152000,48.0077,77.107
24.153000,47.9646,77.183
24.154000,47.9214,77.258
24.155000,47.8782,77.333
24.156000,47.8350,77.408
24.157000,47.7918,77.483
24.158000,47.7486,77.558
24.159000,47.7055,77.634
24.160000,47.6623,77.709
24.161000,47.6191,77.784
24.162000,47.5755,77.860
24.163000,47.5320,77.936
24.164000,47.4884,78.012
24.165000,47.4448,78.088
24.166000,47.4012,78.164
24.167000,47.3576,78.240
24.168000,47.3141,78.316
24.169000,47.2705,78.392
24.170000,47.2269,78.468
24.171000,47.1833,78.544
24.172000,47.1397,78.620
24.173000,47.0962,78.697
24.174000,47.0526,78.773
24.175000,47.0087,78.849
24.176000,46.9647,78.926
24.177000,46.9207,79.003
24.178000,46.8767,79.080
24.179000,46.8327,79.157
24.180000,46.7887,79.234
24.181000,46.7447,79.311
24.182000,46.7008,79.388
24.183000,46.6568,79.465
24.184000,46.6128,79.542
24.185000,46.5688,79.619
24.186000,46.5248,79.696
24.187000,46.4808,79.773
24.188000,46.4365,79.851
24.189000,46.3921,79.929
24.190000,46.3477,80.007
24.191000,46.3033,80.085
24.192000,46.2589,80.163
24.193000,46.2145,80.241
24.194000,46.1701,80.319
24.195000,46.1257,80.397
24.196000,46.0812,80.475
24.197000,46.0368,80.553
24.198000,45.9924,80.631
24.199000,45.9480,80.709
24.200000,45.9036,80.787
24.201000,45.8588,80.865
24.202000,45.8140,80.944
24.203000,45.7691,81.023
24.204000,45.7243,81.102
24.205000,45.6795,81.181
24.206000,45.6346,81.260
24.207000,45.5898,81.339
24.208000,45.5450,81.418
24.209000,45.5001,81.497
24.210000,45.4553,81.576
24.211000,45.4105,81.655
24.212000,45.3656,81.734
24.213000,45.3207,81.813
24.214000,45.2754,81.893
24.215000,45.2301,81.973
24.216000,45.1848,82.053
24.217000,45.1396,82.132
24.218000,45.0943,82.212
24.219000,45.0490,82.292
24.220000,45.0037,82.372
24.221000,44.9585,82.452
24.222000,44.9132,82.532
24.223000,44.8679,82.612
24.224000,44.8227,82.692
24.225000,44.7774,82.772
24.226000,44.7318,82.852
24.227000,44.6860,82.933
24.228000,44.6403,83.014
24.229000,44.5946,83.095
24.230000,44.5489,83.176
24.231000,44.5031,83.257
24.232000,44.4574,83.338
24.233000,44.4117,83.419
24.234000,44.3660,83.500
24.235000,44.3202,83.581
24.236000,44.2745,83.662
24.237000,44.2288,83.743
24.238000,44.1829,83.824
24.239000,44.1367,83.906
24.240000,44.0905,83.988
24.241000,44.0443,84.070
24.242000,43.9981,84.152
24.243000,43.9520,84.234
24.244000,43.9058,84.316
24.245000,43.8596,84.398
24.246000,43.8134,84.480
24.247000,43.7672,84.562
24.248000,43.7210,84.644
24.249000,43.6749,84.726
24.250000,43.6286,84.808
24.251000,43.5819,84.891
24.252000,43.5352,84.974
24.253000,43.4886,85.057
24.254000,43.4419,85.140
24.255000,43.3953,85.223
24.256000,43.3486,85.306
24.257000,43.3020,85.389
24.258000,43.2553,85.472
24.259000,43.2086,85.555
24.260000,43.1620,85.638
24.261000,43.1153,85.721
24.262000,43.0686,85.805
24.263000,43.0214,85.889
24.264000,42.9743,85.973
24.265000,42.9272,86.057
24.266000,42.8800,86.141
24.267000,42.8329,86.225
24.268000,42.7857,86.309
24.269000,42.7386,86.393
24.270000,42.6914,86.478
24.271000,42.6443,86.562
24.272000,42.5971,86.646
24.273000,42.5500,86.730
24.274000,42.5027,86.814
24.275000,42.4551,86.900
24.276000,42.4074,86.985
24.277000,42.3598,87.070
24.278000,42.3121,87.155
24.279000,42.2645,87.241
24.280000,42.2169,87.326
24.281000,42.1692,87.411
24.282000,42.1216,87.496
24.283000,42.0739,87.582
24.284000,42.0263,87.667
24.285000,41.9787,87.752
24.286000,41.9307,87.838
24.287000,41.8826,87.924
